2017-12-22 13:28:54,901 -[DEBUG]  method:[org.springframework.core.env.PropertySourcesPropertyResolver.getProperty(PropertySourcesPropertyResolver.java:81) (2673ms)] - Searching for key 'spring.profiles.default' in [jndiProperties]
2017-12-22 13:28:54,901 -[DEBUG]  method:[org.springframework.jndi.JndiTemplate.lookup(JndiTemplate.java:150) (2673ms)] - Looking up JNDI object with name [java:comp/env/spring.profiles.default]
2017-12-22 13:28:54,901 -[DEBUG]  method:[org.springframework.jndi.JndiLocatorSupport.lookup(JndiLocatorSupport.java:101) (2673ms)] - Converted JNDI name [java:comp/env/spring.profiles.default] not found - trying original name [spring.profiles.default]. javax.naming.NameNotFoundException: Name [spring.profiles.default] is not bound in this Context. Unable to find [spring.profiles.default].
2017-12-22 13:28:54,902 -[DEBUG]  method:[org.springframework.jndi.JndiTemplate.lookup(JndiTemplate.java:150) (2674ms)] - Looking up JNDI object with name [spring.profiles.default]
2017-12-22 13:28:54,902 -[DEBUG]  method:[org.springframework.jndi.JndiPropertySource.getProperty(JndiPropertySource.java:90) (2674ms)] - JNDI lookup for name [spring.profiles.default] threw NamingException with message: Name [spring.profiles.default] is not bound in this Context. Unable to find [spring.profiles.default].. Returning null.
2017-12-22 13:28:54,902 -[DEBUG]  method:[org.springframework.core.env.PropertySourcesPropertyResolver.getProperty(PropertySourcesPropertyResolver.java:81) (2674ms)] - Searching for key 'spring.profiles.default' in [systemProperties]
2017-12-22 13:28:54,902 -[DEBUG]  method:[org.springframework.core.env.PropertySourcesPropertyResolver.getProperty(PropertySourcesPropertyResolver.java:81) (2674ms)] - Searching for key 'spring.profiles.default' in [systemEnvironment]
2017-12-22 13:28:54,903 -[DEBUG]  method:[org.springframework.core.env.PropertySourcesPropertyResolver.getProperty(PropertySourcesPropertyResolver.java:103) (2675ms)] - Could not find key 'spring.profiles.default' in any property source. Returning [null]
2017-12-22 13:28:54,903 -[DEBUG]  method:[org.springframework.core.env.PropertySourcesPropertyResolver.getProperty(PropertySourcesPropertyResolver.java:81) (2675ms)] - Searching for key 'spring.profiles.default' in [servletConfigInitParams]
2017-12-22 13:28:54,903 -[DEBUG]  method:[org.springframework.core.env.PropertySourcesPropertyResolver.getProperty(PropertySourcesPropertyResolver.java:81) (2675ms)] - Searching for key 'spring.profiles.default' in [servletContextInitParams]
